NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS
Florianópolis;4205407;NEIM CANTO DA LAGOA;42000556;1;0;1;0;0;0;1;0;0;0;0;1;59;8
Florianópolis;4205407;NEIM SANTO ANTONIO DE PADUA;42000564;1;0;1;0;0;0;1;0;0;0;0;1;91;7
Florianópolis;4205407;NUCLEO DE DESENVOLVIMENTO INFANTIL - NDI UFSC;42000580;1;0;1;0;0;0;1;0;0;0;0;1;193;24
Florianópolis;4205407;COLEGIO SANTA CATARINA;42000645;1;0;1;0;0;0;1;0;0;0;0;1;555;31
Florianópolis;4205407;EBM RETIRO DA LAGOA;42000653;1;0;1;0;0;0;1;0;0;0;0;1;103;7
Florianópolis;4205407;EBM JOAO FRANCISCO GARCEZ;42000661;1;0;1;0;0;0;1;0;0;0;0;0;86;9
Florianópolis;4205407;ASAV - COLEGIO CATARINENSE;42000670;1;0;1;0;1;0;1;0;0;0;0;1;1797;106
Florianópolis;4205407;COLEGIO DE APLICACAO UFSC;42000688;1;0;1;0;0;0;1;0;0;0;0;1;939;93
Florianópolis;4205407;EEB LEONOR DE BARROS;42000696;1;0;1;0;0;0;1;0;0;0;0;0;709;51
Florianópolis;4205407;EEB PE ANCHIETA;42000700;1;0;1;0;0;0;1;0;0;0;0;1;1069;72
Florianópolis;4205407;EEB SIMAO JOSE HESS;42000718;1;0;1;0;0;0;1;0;0;0;0;1;919;60
Florianópolis;4205407;EEB FELICIANO NUNES PIRES;42000726;1;0;1;0;0;0;1;0;0;0;0;1;439;35
Florianópolis;4205407;EBM HENRIQUE VERAS;42000734;1;0;1;0;0;0;1;0;0;0;0;0;340;23
Florianópolis;4205407;EEB HILDA TEODORO VIEIRA;42000742;1;0;1;0;0;0;1;0;0;0;0;0;436;25
Florianópolis;4205407;EBM JOAO ALFREDO ROHR;42000750;1;0;1;0;0;0;1;0;0;0;0;1;325;17
Florianópolis;4205407;EBM ACACIO GARIBALDI SAO THIAGO;42000769;1;0;1;0;0;0;0;1;0;0;0;0;487;22
Florianópolis;4205407;EBM BEATRIZ DE SOUZA BRITO;42000777;1;0;1;0;0;0;1;0;0;0;0;1;534;23
Florianópolis;4205407;ESCOLA DINAMICA;42000793;1;0;1;0;0;0;0;1;0;0;0;1;878;76
Florianópolis;4205407;COLEGIO TRADICAO;42000807;1;0;1;0;1;0;1;0;0;0;0;1;328;23
Florianópolis;4205407;CENTRO EDUCACIONAL MENINO JESUS;42000815;1;0;1;0;0;0;1;0;0;0;0;0;1496;97
Florianópolis;4205407;EBM COSTA DA LAGOA;42000831;2;0;1;0;0;0;1;0;0;0;0;0;87;17
Florianópolis;4205407;NEIM ORLANDINA CORDEIRO;42000840;1;0;1;0;0;0;0;1;0;0;0;1;264;34
Florianópolis;4205407;NEIM JUDITE FERNANDES DE LIMA;42000866;1;0;1;0;0;0;0;1;0;0;0;1;126;14
Florianópolis;4205407;NEIM RAUL FRANCISCO LISBOA;42000874;1;0;1;0;0;0;0;1;0;0;0;1;94;8
Florianópolis;4205407;NEIM MARIA SALOME DOS SANTOS;42000882;1;0;1;0;0;0;0;1;0;0;0;1;137;15
Florianópolis;4205407;NEIM SAO JOAO BATISTA;42000890;1;0;1;0;0;0;1;0;0;0;0;1;476;23
Florianópolis;4205407;EBM ANTONIO PASCHOAL APOSTOLO;42000912;1;0;1;0;0;0;0;1;0;0;0;1;562;26
Florianópolis;4205407;EBM PAULO FONTES;42000920;1;0;1;0;0;0;0;1;0;0;0;1;127;17
Florianópolis;4205407;EBM JOSE DO VALLE PEREIRA;42000939;1;0;1;0;0;0;1;0;0;0;0;0;592;29
Florianópolis;4205407;EEB INTENDENTE JOSE FERNANDES;42000947;1;0;1;0;0;0;0;0;1;0;0;0;1985;98
Florianópolis;4205407;EBM MANCIO COSTA - ESCOLA DO FUTURO;42000955;2;0;1;0;0;0;0;1;0;0;0;1;542;29
Florianópolis;4205407;EBM INTENDENTE ARICOMEDES DA SILVA;42000971;1;0;1;0;0;0;1;0;0;0;0;1;704;26
Florianópolis;4205407;EBM COSTA DE DENTRO;42000998;1;0;1;0;0;0;0;1;0;0;0;1;139;13
Florianópolis;4205407;EBM MARIA TOMAZIA COELHO;42001005;1;0;1;0;0;0;0;1;0;0;0;0;644;29
Florianópolis;4205407;EBM LUIZ CANDIDO DA LUZ;42001021;1;0;1;0;0;0;0;1;0;0;0;1;898;34
Florianópolis;4205407;EBM ALBERTINA MADALENA DIAS;42001048;1;0;1;0;0;0;0;1;0;0;0;1;616;29
Florianópolis;4205407;EEB DE MUQUEM;42001080;1;0;1;0;0;0;0;1;0;0;0;1;1223;56
Florianópolis;4205407;EBM MARCOLINO JOSE DE LIMA;42001102;1;0;1;0;0;0;0;1;0;0;0;1;122;11
Florianópolis;4205407;EBM JURERE;42001110;1;0;1;0;0;0;1;0;0;0;0;1;197;17
Florianópolis;4205407;EEB PROF LAURA LIMA;42001129;1;0;1;0;0;0;0;1;0;0;0;1;1021;54
Florianópolis;4205407;EBM HERONDINA MEDEIROS ZEFERINO;42001137;1;0;1;0;0;0;0;1;0;0;0;1;2085;75
Florianópolis;4205407;EBM OSMAR CUNHA;42001145;1;0;1;0;0;0;1;0;0;0;0;1;932;34
Florianópolis;4205407;EBM OSVALDO MACHADO - ESCOLA DO FUTURO;42001153;1;0;1;0;0;0;1;0;0;0;0;0;629;27
Florianópolis;4205407;NEIM MONSENHOR FREDERICO HOBOLD;42001170;1;0;1;0;0;0;1;0;0;0;0;0;157;15
Florianópolis;4205407;NEIM CELSO RAMOS;42001188;1;0;1;0;0;0;1;0;0;0;0;1;256;31
Florianópolis;4205407;NEIM BEM-TE-VI;42001200;1;0;1;0;0;0;1;0;0;0;0;0;93;18
Florianópolis;4205407;NEIM ZILDA ARNS NEUMANN;42001234;1;0;1;0;0;0;1;0;0;0;0;1;225;19
Florianópolis;4205407;NEIM PANTANO DO SUL;42001242;1;0;1;0;0;0;0;1;0;0;0;1;44;6
Florianópolis;4205407;NEIM PROFESSORA ALESSANDRA ABDALLA;42001250;1;0;1;0;0;0;1;0;0;0;0;0;126;11
Florianópolis;4205407;SESC SERVICO SOCIAL DO COMERCIO;42001269;1;0;1;0;0;0;1;0;0;0;0;1;249;23
Florianópolis;4205407;EEB TENENTE ALMACHIO;42001285;1;0;1;0;0;0;0;1;0;0;0;0;1073;61
Florianópolis;4205407;EEF BALDICERO FILOMENO;42001293;1;0;1;0;0;0;0;0;1;0;0;0;165;8
Florianópolis;4205407;EEF SEVERO HONORATO DA COSTA;42001307;1;0;1;0;0;0;0;1;0;0;0;1;178;17
Florianópolis;4205407;EEF GEN JOSE VIEIRA DA ROSA;42001315;1;0;1;0;0;0;0;1;0;0;0;1;176;12
Florianópolis;4205407;EEB JANUARIA TEIXEIRA DA ROCHA;42001323;1;0;1;0;0;0;0;1;0;0;0;1;119;7
Florianópolis;4205407;EEB PORTO DO RIO TAVARES;42001340;1;0;1;0;0;0;1;0;0;0;0;0;507;24
Florianópolis;4205407;EEB ILDEFONSO LINHARES;42001358;1;0;1;0;0;0;1;1;0;0;0;1;756;50
Florianópolis;4205407;EBM LUPERCIO BELARMINO DA SILVA;42001366;2;0;1;0;0;0;0;1;0;0;0;0;116;9
Florianópolis;4205407;EBM JOSE AMARO CORDEIRO;42001374;1;0;1;0;0;0;0;1;0;0;0;0;581;33
Florianópolis;4205407;EEB DOM JAIME DE BARROS CAMARA;42001404;1;0;1;0;0;0;1;1;0;0;0;1;407;33
Florianópolis;4205407;EEB GETULIO VARGAS;42001412;1;0;1;0;0;0;1;0;0;0;0;0;1048;66
Florianópolis;4205407;EBM BATISTA PEREIRA;42001420;1;0;1;0;0;0;0;1;0;0;0;1;852;31
Florianópolis;4205407;EBM JOAO GONCALVES PINHEIRO;42001447;1;0;1;0;0;0;0;1;0;0;0;1;536;21
Florianópolis;4205407;EEB JUREMA CAVALLAZZI;42001455;1;0;1;0;0;0;1;0;0;0;0;0;290;29
Florianópolis;4205407;EBM DILMA LUCIA DOS SANTOS;42001463;1;0;1;0;0;0;0;1;0;0;0;1;428;21
Florianópolis;4205407;EBM BRIGADEIRO EDUARDO GOMES;42001471;1;0;1;0;0;0;0;1;0;0;0;1;806;32
Florianópolis;4205407;COLEGIO ESTIMOARTE;42001480;1;0;1;0;0;0;1;0;0;0;0;1;351;24
Florianópolis;4205407;EEF JULIO DA COSTA NEVES;42001501;1;0;1;0;0;0;1;0;0;0;0;1;482;37
Maravilha;4210506;ICEU - INSTITUTO CATARINENSE DE EDUCACAO LTDA;42001510;1;0;1;0;0;0;0;1;0;0;0;1;38;3
Florianópolis;4205407;NEIM MACHADO DE ASSIS;42001560;1;0;1;0;0;0;1;0;0;0;0;1;245;25
Florianópolis;4205407;NEIM PAULO MICHELS;42001587;1;0;1;0;0;0;1;0;0;0;0;0;109;12
Florianópolis;4205407;ASSOCIACAO EVANGELICA BENEFICENTE DE ASSISTENCIA SOCIAL AEBAS;42001595;1;0;1;0;0;0;1;0;0;0;0;1;;
Florianópolis;4205407;NEIM PROFESSORA MARIA BARREIROS;42001609;1;0;1;0;0;0;1;0;0;0;0;0;155;18
Florianópolis;4205407;ASSOCIACAO PEDAGOGICA MICAEL;42001625;1;0;1;0;0;0;1;0;0;0;0;1;383;45
Florianópolis;4205407;NEIM COQUEIROS;42001692;1;0;1;0;0;0;1;0;0;0;0;1;149;17
Florianópolis;4205407;NEIM PREFEITO NAGIB JABOR;42001706;1;0;1;0;0;0;1;0;0;0;0;0;192;17
Florianópolis;4205407;EEB PROF ANIBAL NUNES PIRES;42001757;1;0;1;0;0;0;0;1;0;0;0;0;506;46
Florianópolis;4205407;EEB PRES ROOSEVELT;42001765;1;0;1;0;0;0;1;0;0;0;0;1;530;45
Florianópolis;4205407;COLEGIO SALVATORIANO NOSSA SENHORA DE FATIMA;42001773;1;0;1;0;0;0;1;0;0;0;0;1;1378;50
Florianópolis;4205407;EEB EDITH GAMA RAMOS;42001781;1;0;1;0;0;0;1;0;0;0;0;0;594;35
Florianópolis;4205407;EEB PERO VAZ DE CAMINHA;42001790;1;0;1;0;0;0;1;0;0;0;0;0;377;28
Florianópolis;4205407;EEB ROSINHA CAMPOS;42001803;1;0;1;0;0;0;1;0;0;0;0;0;367;29
Florianópolis;4205407;EEB DAYSE WERNER SALLES;42001811;1;0;1;0;0;0;0;0;1;0;0;0;93;15
Florianópolis;4205407;EBM ALMIRANTE CARVALHAL;42001820;1;0;1;0;0;0;1;0;0;0;0;1;478;24
Florianópolis;4205407;EEB JORNALISTA JAIRO CALLADO;42001838;1;0;1;0;0;0;1;0;0;0;0;0;421;24
Florianópolis;4205407;ASSOC PEDAGOGICA PRAIA DO RISO;42001846;1;0;1;0;0;0;1;0;0;0;0;1;251;23
Florianópolis;4205407;NEIM CELSO PAMPLONA;42001889;1;0;1;0;0;0;1;0;0;0;0;0;238;25
Florianópolis;4205407;EEB IRINEU BORNHAUSEN;42002052;1;0;1;0;0;0;1;0;0;0;0;1;526;36
Florianópolis;4205407;EEB JOSE BOITEUX;42002060;1;0;1;0;0;0;1;0;0;0;0;0;538;39
Florianópolis;4205407;EEB ADERBAL RAMOS DA SILVA;42002079;1;0;1;0;0;0;1;0;0;0;0;0;751;64
Florianópolis;4205407;COLEGIO ANTONIO PEIXOTO;42002087;1;0;1;0;0;0;1;0;0;0;0;1;326;15
Florianópolis;4205407;EEB ROSA TORRES DE MIRANDA;42002117;1;0;1;0;0;0;1;0;0;0;0;0;558;29
Itajaí;4208203;INSTITUTO LAR DA JUVENTUDE DE ASSIST E ED PARQUE DOM BOSCO;42002150;1;0;1;0;0;0;1;0;0;0;0;1;;
Biguaçu;4202305;CEI MUN LAR FELIZ;42002184;1;0;1;0;0;0;0;0;0;1;0;0;122;18
Biguaçu;4202305;CEI MUN RECANTO FELIZ;42002230;1;0;1;0;0;0;1;1;0;0;0;0;273;22
Biguaçu;4202305;EEF TEOFILO TEODORO REGIS;42002257;2;0;1;0;0;0;0;1;0;0;0;0;103;13
Biguaçu;4202305;EEB JOAQUIM JOAO CARDOSO;42002265;1;0;1;0;0;0;1;0;0;0;0;0;159;8
Biguaçu;4202305;EEB PROF EMERITA DUARTE S E SOUZA;42002273;1;0;1;0;0;0;1;1;0;0;0;0;1102;66
Biguaçu;4202305;EEB PROF MARIA DE LOURDES SCHERER;42002281;1;0;1;0;0;0;1;0;0;0;0;0;102;7
Biguaçu;4202305;EEF AREIAS DE CIMA;42002320;1;0;1;0;0;0;1;0;0;0;0;1;95;7
Biguaçu;4202305;EEF SANTO ANTONIO;42002338;1;0;1;0;0;0;1;1;0;0;0;0;148;12
Biguaçu;4202305;GRUPO ESCOLAR MUNICIPAL CELIA LISBOA DOS SANTOS;42002419;1;0;1;0;0;0;1;0;0;0;0;1;148;9
Biguaçu;4202305;EEB PROFA TANIA MARA F E SILVA LOCKS;42002443;1;0;1;0;0;0;0;1;0;0;0;0;925;60
Biguaçu;4202305;EEM PROF MARIA DA GLORIA V DE FARIA;42002451;1;0;1;0;0;0;0;1;0;0;0;1;934;62
Biguaçu;4202305;EEB CONEGO RODOLFO MACHADO;42002460;1;0;1;0;0;0;1;1;0;0;0;1;568;37
Biguaçu;4202305;EBM PROFº DONATO ALIPIO DE CAMPOS;42002478;1;0;1;0;0;0;1;0;0;0;0;0;625;44
Governador Celso Ramos;4206009;CENTRO DE EDUCACAO INFANTIL SENHORA DOS NAVEGANTES;42002524;1;0;1;0;0;0;0;1;0;0;0;0;153;15
Governador Celso Ramos;4206009;ESC MUN PREF MIGUEL PEDRO DOS SANTOS;42002583;1;0;1;0;0;0;0;1;0;0;0;0;139;10
Governador Celso Ramos;4206009;EEB MUN PROFª ELVIRA SARDA DA SILVA;42002591;1;0;1;0;0;0;0;1;0;0;0;1;328;16
Governador Celso Ramos;4206009;ESC MUN PROFª ALAIDE DA SILVA MAFRA;42002605;1;0;1;0;0;0;0;1;0;0;0;0;399;20
Governador Celso Ramos;4206009;ESC MUN PROFª DALMA LUZ DE AZEVEDO;42002621;1;0;1;0;0;0;0;1;0;0;0;0;198;13
Governador Celso Ramos;4206009;ESC MUN PREF JOAO BALDANCA SOBRINHO;42002656;1;0;1;0;0;0;0;1;0;0;0;0;147;8
Governador Celso Ramos;4206009;EEB DR ADERBAL RAMOS DA SILVA;42002672;1;0;1;0;0;0;0;1;0;0;0;0;356;27
Governador Celso Ramos;4206009;EEB PROF MARIA AMALIA CARDOSO;42002680;1;0;1;0;0;0;0;1;0;0;0;0;167;17
Governador Celso Ramos;4206009;EEB MUN ABEL CAPELLA;42002699;1;0;1;0;0;0;0;1;0;0;0;1;381;24
Biguaçu;4202305;EEB PREF AVELINO MULLER;42002729;1;0;1;0;0;0;1;1;0;0;0;1;532;33
Biguaçu;4202305;EEB PROF JOSE BRASILICIO;42002737;1;0;1;0;0;0;0;1;0;0;0;0;708;36
Biguaçu;4202305;EB MUN PROFº MANOEL ROLDAO DAS NEVES;42002770;1;0;1;0;0;0;1;0;0;0;0;1;392;24
Biguaçu;4202305;EEB PROF ALEXANDRE SERGIO GODINHO;42002850;1;0;1;0;0;0;1;0;0;0;0;0;659;35
Biguaçu;4202305;EEB PROF ELOISA MARIA PRAZERES DE FARIA;42002869;1;0;1;0;0;0;1;1;0;0;0;0;1079;60
Antônio Carlos;4201208;CEIM CORACAO DE JESUS;42002877;1;0;1;0;0;0;0;1;0;0;0;1;298;17
Antônio Carlos;4201208;EEB ALTAMIRO GUIMARAES;42002893;1;0;1;0;0;0;1;0;0;0;0;0;1413;72
Antônio Carlos;4201208;NEM CONEGO DOUTOR RAULINO REITZ;42002907;1;0;1;0;0;0;0;1;0;0;0;1;105;8
Antônio Carlos;4201208;NEM PROFA VERONICA GUESSER PAULI;42002915;1;0;1;0;0;0;0;1;0;0;0;1;197;14
Antônio Carlos;4201208;CEIM PROFA XENIA GOEDERT KREMER;42003083;1;0;1;0;0;0;0;1;0;0;0;1;75;6
São José;4216602;CEI SANTO ANTONIO;42003105;1;0;1;0;0;0;0;1;0;0;0;1;276;19
São Pedro de Alcântara;4217253;CRECHE FREI ATICO;42003130;1;0;1;0;0;0;0;1;0;0;0;1;129;25
São Pedro de Alcântara;4217253;CRECHE PROFª LEONIDA V FRANCENER;42003172;1;0;1;0;0;0;0;1;0;0;0;1;118;24
São José;4216602;CENTRO EDUC TIA DOLORES;42003237;1;0;1;0;0;0;1;0;0;0;0;0;76;10
São José;4216602;EBM ALBERTINA KRUMMEL MACIEL;42003261;1;0;1;0;0;0;0;1;0;0;0;1;639;39
São José;4216602;EEB FRANCISCO TOLENTINO;42003270;1;0;1;0;0;0;1;1;0;0;0;1;809;46
São Pedro de Alcântara;4217253;EEB GAMA ROSA;42003288;1;0;1;0;0;0;0;0;0;1;1;1;556;36
São José;4216602;ESCOLA BASICA DOCILICIO VIEIRA DA LUZ;42003296;1;0;1;0;0;0;1;1;0;0;0;1;224;25
São José;4216602;EEB JOSE MATIAS ZIMMERMANN;42003300;2;0;1;0;0;0;1;0;0;0;0;0;671;38
São Pedro de Alcântara;4217253;ER SANTA FILOMENA PROFº AUGUSTO SCHNITZLER;42003490;2;0;1;0;0;0;0;1;0;0;0;1;21;6
São José;4216602;EEB PROF JOAQUIM SANTIAGO;42003512;1;0;1;0;0;0;0;1;0;0;0;0;569;42
São José;4216602;EEB PROF MARIA JOSE B VIEIRA;42003520;1;0;1;0;0;0;1;1;0;0;0;0;765;43
São José;4216602;COLEGIO ALFA KOBRASOL EF E EM;42003555;1;0;1;0;0;0;1;0;0;0;0;0;236;19
São José;4216602;COLEGIO DOM JAIME JR;42003563;1;0;1;0;0;0;1;0;0;0;0;1;319;15
São José;4216602;COLEGIO FRANCISCO JOSE FERREIRA NETO;42003571;1;0;1;0;1;0;1;0;0;0;0;1;385;27
São José;4216602;COLEGIO REINO AZUL;42003598;1;0;1;0;0;0;1;0;0;0;0;1;518;25
São José;4216602;CEI NOSSA SENHORA DAS GRACAS;42003601;1;0;1;0;0;0;1;1;0;0;0;1;235;14
São José;4216602;CRECHE VINDE A MIM AS CRIANCINHAS;42003636;1;0;1;0;0;0;1;0;0;0;0;1;481;23
São José;4216602;CEI SANTA INES;42003644;1;0;1;0;0;0;1;1;0;0;0;1;244;14
São José;4216602;EDUCANDARIO SANTA CATARINA;42003652;1;0;1;0;0;0;0;1;0;0;0;1;403;26
São José;4216602;CRECHE NOSSA SENHORA DE LOURDES;42003695;1;0;1;0;0;0;1;0;0;0;0;1;107;6
São José;4216602;EEF DR HOMERO DE MIRANDA GOMES;42003709;1;0;1;0;0;0;1;0;0;0;0;0;421;26
São José;4216602;EEF PROF MARCILIA DE OLIVEIRA;42003717;1;0;1;0;0;0;0;0;1;0;0;1;759;39
São José;4216602;EEB NS DA CONCEICAO;42003725;1;0;1;0;0;0;1;0;0;0;0;1;962;67
São José;4216602;EBM PROFESSOR ALTINO CORSINO DA SILVA FLORES;42003733;1;0;1;0;0;0;1;0;0;0;0;1;427;40
São José;4216602;EEB PROFA LAURITA DUTRA DE SOUZA;42003741;1;0;1;0;0;0;1;0;0;0;0;1;696;46
São José;4216602;EEB ALDO CAMARA DA SILVA;42003750;1;0;1;0;0;0;1;0;0;0;0;0;606;36
São José;4216602;CEM RENASCER;42003768;1;0;1;0;0;0;1;1;0;0;0;1;472;38
São José;4216602;EEB VALDETE LUCI MARTINS PORTO;42003784;2;0;1;0;0;0;0;0;1;0;0;0;308;20
São José;4216602;EEF DE CALIFORNIA;42003792;2;0;1;0;0;0;1;1;0;0;0;0;88;10
São José;4216602;EEF POTECAS;42003806;1;0;1;0;0;0;1;1;0;0;0;1;267;13
São José;4216602;EEB WANDERLEY JUNIOR;42003814;1;0;1;0;0;0;1;1;0;0;0;0;1279;82
São José;4216602;EEB PRES JUSCELINO KUBITSCHEK;42003830;1;0;1;0;0;0;1;0;0;0;0;0;1383;72
São José;4216602;EEB PROF MARIA DO CARMO LOPES;42003849;1;0;1;0;0;0;1;0;0;0;0;1;917;54
São José;4216602;EEB PROF AMERICO VESPUCIO PRATES;42003857;1;0;1;0;0;0;1;0;0;0;0;0;357;25
São José;4216602;EEB PROF OSWALDO RODRIGUES CABRAL;42003865;1;0;1;0;0;0;1;0;0;0;0;1;656;43
São José;4216602;COLEGIO ELITE CEB -EF;42003873;1;0;1;0;0;0;1;0;0;0;0;1;344;20
São José;4216602;EEB CECILIA ROSA LOPES;42003881;1;0;1;0;0;0;1;0;0;0;0;0;1116;62
São José;4216602;COLEGIO PE AGOSTINHO;42003890;1;0;1;0;0;0;1;0;0;0;0;1;423;33
São José;4216602;COLEGIO ELISA ANDREOLI;42003903;1;0;1;0;0;0;1;0;0;0;0;1;2047;82
São José;4216602;EEB PROFESSORA PALMIRA LIMA MAMBRINI;42003946;1;0;1;0;0;0;1;0;0;0;0;1;311;27
Palhoça;4211900;CEI PADRE REUS;42003989;1;0;1;0;0;0;1;0;0;0;0;0;173;32
Palhoça;4211900;CEI JOSE MIGUEL FERREIRA;42003997;2;0;1;0;0;0;1;0;0;0;0;0;83;14
Palhoça;4211900;CONSELHO COMUNITARIO DO ALTO ARIRIU;42004012;1;0;1;0;0;0;0;1;0;0;0;1;312;18
Palhoça;4211900;EEF PROF MARIA CLEMENTINA DE S LOPES;42004020;1;0;1;0;0;0;1;0;1;0;0;0;595;29
Palhoça;4211900;EEB PROF URSULINA DE SENNA CASTRO;42004039;1;0;1;0;0;0;0;1;0;0;0;0;1201;65
Palhoça;4211900;EEB PROF BENONIVIO JOAO MARTINS;42004047;1;0;1;0;0;0;1;0;0;0;0;1;1278;71
Palhoça;4211900;EEB VICENTE SILVEIRA;42004055;1;0;1;0;0;0;1;1;0;0;0;0;729;37
Palhoça;4211900;GE NAJLA CARONE GUEDERT;42004063;1;0;1;0;0;0;0;1;0;0;0;0;235;12
Palhoça;4211900;ER PROF DANIEL CARLOS WEINGARTNER;42004071;2;0;1;0;0;0;0;1;0;0;0;1;137;7
Palhoça;4211900;EB PROFª ANTONIETA SILVEIRA DE SOUZA;42004080;1;0;1;0;0;0;0;1;0;0;0;0;840;40
Palhoça;4211900;EB GUILHERME WIETHORN FILHO;42004098;1;0;1;0;0;0;0;1;0;0;0;0;815;40
Palhoça;4211900;ER MUN DE ALBARDAO;42004152;2;0;1;0;0;0;0;1;0;0;0;1;48;6
Palhoça;4211900;ER MANOEL DA SILVA;42004179;2;0;1;0;0;0;0;1;0;0;0;0;171;11
Palhoça;4211900;ER PROF BENTO JOSE DO NASCIMENTO;42004187;2;0;1;0;0;0;0;1;0;0;0;0;33;5
Palhoça;4211900;EEB JOAO SILVEIRA;42004209;1;0;1;0;0;0;1;0;0;0;0;0;1370;81
Palhoça;4211900;EEB DOM JAIME DE BARROS CAMARA;42004217;1;0;1;0;0;0;1;0;0;0;0;0;1626;97
Palhoça;4211900;EEB PROF NICOLINA TANCREDO;42004225;1;0;1;0;0;0;1;0;0;0;0;0;987;63
Palhoça;4211900;CEI ARGEMIRA FARIAS DA SILVEIRA;42004241;1;0;1;0;0;0;1;0;0;0;0;0;169;14
Palhoça;4211900;CEI ASSOCIACAO JOAO PAULO II;42004276;1;0;1;0;0;0;0;1;0;0;0;1;103;5
Palhoça;4211900;CEI SNOOPY;42004306;1;0;1;0;0;0;0;1;0;0;0;0;80;9
Palhoça;4211900;CEI ESTRELINHA;42004322;1;0;1;0;0;0;0;1;0;0;0;0;145;10
Palhoça;4211900;EEB PE VICENTE F CORDEIRO;42004330;1;0;1;0;0;0;1;1;0;0;0;0;944;57
Palhoça;4211900;EEB PROF CLAUDETE MARIA H DOMINGOS;42004349;1;0;1;0;0;0;0;0;1;0;0;0;631;37
Palhoça;4211900;EEB HENRIQUE ESTEFANO KOERICH;42004357;1;0;1;0;0;0;1;0;1;0;0;0;994;53
Palhoça;4211900;EB PROFª LAURITA WAGNER DA SILVEIRA;42004365;1;0;1;0;0;0;0;1;0;0;0;0;274;22
Palhoça;4211900;EB PROFª FRANCISCA RAIMUNDA FARIAS DA COSTA;42004373;1;0;1;0;0;0;0;1;0;0;0;0;494;30
Palhoça;4211900;EEB PROF MARIA DO CARMO DE SOUZA;42004381;1;0;1;0;0;0;1;0;0;0;0;0;1213;64
Palhoça;4211900;ER PROFª OLGA CERINO;42004390;1;0;1;0;0;0;0;1;0;0;0;0;134;7
Palhoça;4211900;GE PROFª MARIA LUZIA DE SOUZA;42004403;1;0;1;0;0;0;0;1;0;0;0;1;178;10
Palhoça;4211900;EI RINCAO;42004411;1;0;1;0;0;0;0;1;0;0;0;1;85;8
Palhoça;4211900;GE TEREZINHA MARIA ESPINDOLA MARTINS;42004420;1;0;1;0;0;0;0;1;0;0;0;0;298;17
Palhoça;4211900;ER PROFª ISABEL BOTELHO DE PAULO;42004454;1;0;1;0;0;0;0;1;0;0;0;0;132;7
Palhoça;4211900;EB ABILIO MANOEL DE ABREU;42004470;1;0;1;0;0;0;0;1;0;0;0;9;335;22
